,bAC,bIR,bNAC,bSTUT,cAC,cADpyr,cIR,cNAC,cSTUT,dNAC,dSTUT
CM,14966.752861906603,7618.524207986171,12581.26607171986,2692.5941080495086,21274.71166617101,14466.561978465263,2262.9308762436317,6148.747928861151,3269.7621983174704,1583.999412341719,2986.253142027061
COAa,5515.145382644736,2305.7079629610153,3519.752172084262,450.1044454331973,3953.2808005113156,7943.770326678273,399.17987714091026,1124.602541136778,532.7394082093975,216.19449384467615,848.8140441771452
COApl,6962.5971936063925,2653.8769583328904,3989.8109246612007,316.68273892898327,3371.2237706138035,23113.494553594548,277.5271485986303,834.0863132526016,370.5551940664466,146.9005006052746,1084.5105446165408
COApm,6503.9661684637,2603.8938247758188,3973.4462425913393,423.6175483053485,4010.521929868255,20044.37213666443,368.7764831902542,1061.9163121654672,502.02591510639684,211.65779871718127,1037.3366447019482
COPY,64491.655361288096,27959.0155604974,45501.36096427123,6815.424850964038,60838.79010391467,156333.43932254935,5453.341876599862,15442.365771217992,8330.4742137556,4392.181699947191,12997.058843416278
COPYgranularlayer,55196.64251290586,23536.703372168977,38650.012880211456,5529.600382757711,50519.1716531389,152114.62795024633,4325.619059822429,12249.552593701055,6804.506756969973,3753.7940713597136,11590.344663509859
COPYmolecularlayer,8219.448008907646,3773.908225122373,5647.262767967351,975.4610522680988,8159.644281649256,4218.81137230304,860.312274098841,2601.7952769266512,1136.9700118649407,438.16669736292306,1089.8081208589083
COPYpurkinjelayer,1172.0453699544194,705.4439116582355,1308.3954972012857,337.22979601927653,2363.3697682278607,0.0,289.3357575179243,646.0361747051128,422.42332128303093,218.28108902886066,345.5451870259953
CP,12653.571348675698,7614.363405461278,14205.41569883236,3708.551364961819,28002.59244884731,51419.73128440458,3005.5076556328568,7430.183367959675,4635.375109886994,2556.6911991792012,4054.240443957323
CS,8673.791437680999,5174.602508453722,9469.495255466383,2424.866051141856,16937.381623296063,6066.274008895336,2097.0875839630985,4708.57929934546,3027.968591304183,1533.9835475032844,2416.324141168508
CTXspunassigned,9140.705754953487,4245.952322616533,6709.487833480035,1192.191656398335,9741.85094633651,20414.636520716223,1025.6520020157102,2854.303782682581,1429.582291445123,641.3209244761699,1548.9099451027705
CU,21103.575445982788,12625.074720616092,23250.82799950441,5975.388770256095,42259.50687331129,7008.706196171806,5110.118638564234,11608.769663414529,7469.441984315315,3853.3765598101077,6092.481394784675
CUL45,101352.41903360069,43936.67619315869,71733.15855289427,10759.117388538118,96316.8974189594,263393.29703685583,8560.69100163441,24260.54887877989,13171.02359497272,7022.238799772724,20701.408949369583
CUL45granularlayer,90634.00205347333,38866.33980536855,63938.71436702681,9314.02898822852,84641.05004164073,258235.48398402793,7290.950666829603,20617.81685084373,11462.444195332513,6319.908735606739,19130.14277576064
CUL45molecularlayer,9600.430864793168,4392.9722776695735,6528.725837061842,1117.6938715285762,9398.15760155909,5157.813052827866,988.3214110586937,3023.738066211458,1297.6420975133394,489.2689124393885,1233.6804553134214
CUL45purkinjelayer,1243.28333134968,751.5112911079902,1401.3057050702585,362.2450290313704,2537.508974945081,0.0,310.1977829778347,689.6266405172788,454.3283405513248,236.21386909344244,374.2947950200905
CUN,9157.059961410436,5539.835940949959,10218.115783958592,2652.2718745867637,18552.796022345272,7668.496941435345,2283.115161964299,5128.8274033353655,3315.8795462729354,1696.3720559946855,2641.2691561257034
DCO,23045.87028690713,9774.480753762873,15191.926312992271,2064.1276467549933,17883.6002556251,9258.820014348075,1796.9670778119864,4961.59450733641,2469.8087769336353,1078.52282930027,3798.585527379267
DEC,54566.13339094432,23468.49523137477,37798.905378776566,5529.0691844010935,50345.451334298334,137655.95394177033,4398.900823707822,12890.592989821083,6721.577506109377,3515.18500410976,10684.95489748914
DECgranularlayer,43939.04458012866,18441.440976883623,30110.384755221345,4100.956380615242,38712.8445883635,132168.62149220845,3147.9925900534836,9241.6041447006,5037.938576745922,2826.92818282306,9156.260381991828
DECmolecularlayer,9611.127987614533,4406.006144215616,6523.099830862524,1123.4184741942686,9485.5547252457,5487.332449561871,991.7893161354901,3068.804148605924,1301.237951110901,487.2681118920243,1213.057142550532
DECpurkinjelayer,1107.417812605941,675.1634330511711,1264.3780331423268,330.13596592321755,2337.080106176515,0.0,280.09834562318855,631.812953082733,414.0746034428667,217.91489533932622,342.47466800129087
DGmo,4681.387916218324,1880.9034892694303,2911.2386429197386,319.84703962987726,3038.1844669277853,15354.505429100793,270.815295199941,776.2114354577902,383.01952655228433,175.37671827474395,792.2076880702995
DGpo,13577.356960360086,5815.436462868864,8915.391680365095,1268.601569865153,11641.90499422741,50968.47574159058,1053.3169115710757,3295.035300169863,1498.2034799039966,674.4884783717362,2190.161411454458
DGsg,9809.524470373919,3997.811595929548,6196.782161347231,726.8249339064662,6800.413766797801,37035.352574075674,612.870928343671,1773.4742354229547,869.6876199383198,399.6793776264887,1662.0689741158226
